file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
2384511.exe ,  4.81,  0.55,  0.45,  0.00,  0.16,  279374790,  257300000,   22025000,  324323277, c++, elite, mult, 2
2384511.exe ,  4.99,  0.57,  0.47,  0.00,  0.16,  292490741,  270483000,   22039000,  338254967, c++, elite, mult, 2
2384511.exe ,  4.68,  0.54,  0.44,  0.00,  0.15,  273985566,  255054000,   18929000,  317822705, c++, elite, mult, 2
2384511.exe ,  5.07,  0.58,  0.48,  0.00,  0.17,  294494073,  276454000,   18029000,  338034530, c++, elite, mult, 2
2384511.exe ,  4.94,  0.57,  0.47,  0.00,  0.16,  289948637,  266710000,   23061000,  332996266, c++, elite, mult, 2
2384511.exe ,  4.70,  0.54,  0.44,  0.00,  0.15,  271396868,  253341000,   18024000,  311939305, c++, elite, mult, 2
2384511.exe ,  4.84,  0.56,  0.46,  0.00,  0.16,  283246123,  264216000,   19015000,  324647260, c++, elite, mult, 2
2384511.exe ,  5.06,  0.59,  0.48,  0.00,  0.17,  297590807,  276536000,   21040000,  342281548, c++, elite, mult, 2
2384511.exe ,  4.97,  0.57,  0.47,  0.00,  0.16,  288782502,  266710000,   21976000,  334829686, c++, elite, mult, 2
2384511.exe ,  4.78,  0.56,  0.46,  0.00,  0.16,  281111046,  262090000,   19006000,  329408489, c++, elite, mult, 2
2531093.exe ,  5.18,  0.59,  0.48,  0.00,  0.17,  297109348,  277069000,   20005000,  341178813, c++, elite, mult, 2
